канал,"горизонт,хв",модель,RMSE,MAE,R2,"виграш над наївним,%","час навчання,с",DM-статистика,p-значення
T_air,15,Наївний,0.6605,0.3656,0.9699,0.0,0.0,,
T_air,15,Ridge,0.5257,0.3667,0.9809,20.4,0.0,,
T_air,15,ВипадковийЛіс,0.4446,0.2873,0.9864,32.7,25.5,-3.47,5.25e-04
T_air,15,ГрадієнтнийБустинг,0.4485,0.2879,0.9861,32.1,3.6,,
T_air,15,GRU,0.4772,0.3425,0.9843,27.8,14.5,,
T_air,30,Наївний,1.1576,0.6426,0.9075,0.0,0.0,,
T_air,30,Ridge,0.8715,0.6138,0.9476,24.7,0.0,,
T_air,30,ВипадковийЛіс,0.5834,0.3953,0.9765,49.6,25.6,-3.76,1.74e-04
T_air,30,ГрадієнтнийБустинг,0.6436,0.427,0.9714,44.4,2.9,,
T_air,30,GRU,0.7878,0.4717,0.9572,31.9,21.2,,
T_air,60,Наївний,1.9461,1.1223,0.7385,0.0,0.0,,
T_air,60,Ridge,1.3659,0.9861,0.8712,29.8,0.0,,
T_air,60,ВипадковийЛіс,0.7359,0.5158,0.9626,62.2,25.6,-4.1,4.20e-05
T_air,60,ГрадієнтнийБустинг,0.7678,0.5373,0.9593,60.5,3.0,,
T_air,60,GRU,0.9214,0.5829,0.9414,52.7,12.4,,
RH_air,15,Наївний,1.3403,0.8293,0.8952,0.0,0.0,,
RH_air,15,Ridge,1.2176,0.8111,0.9135,9.2,0.0,,
RH_air,15,ВипадковийЛіс,1.0979,0.7266,0.9297,18.1,25.2,-2.47,1.37e-02
RH_air,15,ГрадієнтнийБустинг,1.2056,0.7891,0.9152,10.0,4.0,,
RH_air,15,GRU,1.2183,0.8506,0.9134,9.1,10.5,,
RH_air,30,Наївний,2.0844,1.3327,0.7465,0.0,0.0,,
RH_air,30,Ridge,1.7831,1.2012,0.8145,14.5,0.0,,
RH_air,30,ВипадковийЛіс,1.4142,0.9996,0.8833,32.2,25.2,-3.87,1.12e-04
RH_air,30,ГрадієнтнийБустинг,1.5317,1.0558,0.8631,26.5,3.0,,
RH_air,30,GRU,1.7231,1.1692,0.8267,17.3,15.2,,
RH_air,60,Наївний,3.136,2.0969,0.4263,0.0,0.0,,
RH_air,60,Ridge,2.3148,1.6713,0.6874,26.2,0.0,,
RH_air,60,ВипадковийЛіс,1.7179,1.2509,0.8279,45.2,25.5,-4.34,1.47e-05
RH_air,60,ГрадієнтнийБустинг,1.8668,1.3338,0.7967,40.5,3.3,,
RH_air,60,GRU,2.0725,1.4822,0.7494,33.9,11.3,,
CO2_air,15,Наївний,40.1288,29.6406,0.5703,0.0,0.0,,
CO2_air,15,Ridge,34.0361,25.424,0.6909,15.2,0.0,,
CO2_air,15,ВипадковийЛіс,28.5892,21.2193,0.7819,28.8,28.5,-12.05,0.00e+00
CO2_air,15,ГрадієнтнийБустинг,29.0482,21.5322,0.7748,27.6,3.0,,
CO2_air,15,GRU,30.6998,22.0005,0.7485,23.5,19.6,,
CO2_air,30,Наївний,43.0552,31.4943,0.5053,0.0,0.0,,
CO2_air,30,Ridge,36.8489,27.0454,0.6377,14.4,0.0,,
CO2_air,30,ВипадковийЛіс,31.6998,23.3201,0.7318,26.4,28.4,-8.63,0.00e+00
CO2_air,30,ГрадієнтнийБустинг,32.8544,24.06,0.712,23.7,3.0,,
CO2_air,30,GRU,34.773,25.4455,0.6773,19.2,20.0,,
CO2_air,60,Наївний,50.811,36.7477,0.3113,0.0,0.0,,
CO2_air,60,Ridge,42.214,31.3914,0.5246,16.9,0.0,,
CO2_air,60,ВипадковийЛіс,33.4105,24.8486,0.7022,34.2,28.1,-7.03,2.65e-12
CO2_air,60,ГрадієнтнийБустинг,34.9577,25.8205,0.674,31.2,3.4,,
CO2_air,60,GRU,36.4072,26.5933,0.6464,28.3,15.0,,
