канал,од. вим.,рівень похибки,RMSE,СКВ за прогонами,"виграш над наївним,%","зростання RMSE, разів"
T_air,°C,0.0,0.651,0.0,43.9,1.0
T_air,°C,0.5,0.681,0.035,41.7,1.05
T_air,°C,1.0,0.736,0.119,38.6,1.13
T_air,°C,2.0,0.859,0.238,33.9,1.32
T_air,°C,3.0,1.024,0.441,30.0,1.57
T_air,°C,5.0,1.335,0.771,27.2,2.05
RH_air,%RH,0.0,1.538,0.0,26.6,1.0
RH_air,%RH,0.5,1.726,0.151,22.6,1.12
RH_air,%RH,1.0,2.227,0.331,15.8,1.45
RH_air,%RH,2.0,3.589,0.699,5.0,2.33
RH_air,%RH,3.0,4.698,0.952,7.4,3.05
RH_air,%RH,5.0,7.591,1.885,4.2,4.94
CO2_air,ppm,0.0,32.409,0.0,24.7,1.0
CO2_air,ppm,0.5,85.338,18.104,18.0,2.63
CO2_air,ppm,1.0,165.029,38.162,15.6,5.09
CO2_air,ppm,2.0,334.282,97.951,14.4,10.31
CO2_air,ppm,3.0,506.686,147.103,13.2,15.63
CO2_air,ppm,5.0,878.503,326.863,12.3,27.11
