канал,од. вим.,складова,код,RMSE,СКВ за прогонами,приріст RMSE,чим лікується,"частка внеску,%",достовірність
T_air,°C,випадковий шум,noise,0.646,0.016,0.007,фільтрація,13.5,у межах розкиду
T_air,°C,систематичне зміщення,bias,0.677,0.049,0.038,калібрування,75.3,у межах розкиду
T_air,°C,дрейф у часі,drift,0.687,0.026,0.048,періодична повірка,95.9,значущий
T_air,°C,квантування,quant,0.653,0.0,0.015,заміна датчика,27.2,значущий
T_air,°C,інерційність,lag,0.651,0.0,0.012,заміна датчика,23.3,значущий
T_air,°C,перехресна чутливість,cross,0.629,0.0,-0.01,програмна компенсація,-19.1,значущий
T_air,°C,відмови каналу,faults,0.649,0.009,0.01,відновлення даних,19.4,значущий
T_air,°C,методична похибка,method,0.646,0.0,0.007,ЛИШЕ заміна датчика,13.5,значущий
T_air,°C,УСІ РАЗОМ,all,0.689,0.097,0.05,—,100.0,—
T_air,°C,ідеальний канал,none,0.639,0.0,0.0,—,0.0,—
RH_air,%RH,випадковий шум,noise,1.549,0.013,0.018,фільтрація,3.6,значущий
RH_air,%RH,систематичне зміщення,bias,1.745,0.198,0.214,калібрування,46.0,значущий
RH_air,%RH,дрейф у часі,drift,1.538,0.017,0.007,періодична повірка,1.4,у межах розкиду
RH_air,%RH,квантування,quant,1.571,0.0,0.04,заміна датчика,8.1,значущий
RH_air,%RH,інерційність,lag,1.531,0.0,-0.001,заміна датчика,0.0,у межах розкиду
RH_air,%RH,перехресна чутливість,cross,1.574,0.0,0.042,програмна компенсація,8.8,значущий
RH_air,%RH,відмови каналу,faults,1.547,0.026,0.016,відновлення даних,3.2,у межах розкиду
RH_air,%RH,методична похибка,method,1.534,0.0,0.003,ЛИШЕ заміна датчика,0.6,значущий
RH_air,%RH,УСІ РАЗОМ,all,1.967,0.362,0.436,—,100.0,—
RH_air,%RH,ідеальний канал,none,1.531,0.0,0.0,—,0.0,—
CO2_air,ppm,випадковий шум,noise,32.792,0.684,0.263,фільтрація,0.1,у межах розкиду
CO2_air,ppm,систематичне зміщення,bias,50.845,23.931,18.316,калібрування,6.1,у межах розкиду
CO2_air,ppm,дрейф у часі,drift,111.26,54.071,78.73,періодична повірка,44.9,значущий
CO2_air,ppm,квантування,quant,32.61,0.0,0.08,заміна датчика,0.0,значущий
CO2_air,ppm,інерційність,lag,32.618,0.0,0.089,заміна датчика,0.0,значущий
CO2_air,ppm,перехресна чутливість,cross,69.28,0.0,36.75,програмна компенсація,14.8,значущий
CO2_air,ppm,відмови каналу,faults,32.78,0.251,0.25,відновлення даних,0.1,значущий
CO2_air,ppm,методична похибка,method,42.306,0.0,9.776,ЛИШЕ заміна датчика,2.9,значущий
CO2_air,ppm,УСІ РАЗОМ,all,162.114,48.298,129.584,—,100.0,—
CO2_air,ppm,ідеальний канал,none,32.529,0.0,0.0,—,0.0,—
