канал,од. вим.,набір ознак,кількість каналів,RMSE,СКВ за прогонами,"покращення до «лише свій канал»,%"
T_air,°C,лише свій канал,1,0.704,0.042,0.0
T_air,°C,усі датчики приладу,5,0.736,0.119,-4.6
T_air,°C,+ зовнішня погода,10,0.756,0.102,-7.4
T_air,°C,+ виконавчі механізми,18,0.699,0.08,0.6
RH_air,%RH,лише свій канал,1,2.224,0.341,0.0
RH_air,%RH,усі датчики приладу,5,2.227,0.331,-0.1
RH_air,%RH,+ зовнішня погода,10,2.292,0.477,-3.0
RH_air,%RH,+ виконавчі механізми,18,2.177,0.393,2.1
CO2_air,ppm,лише свій канал,1,177.368,40.833,0.0
CO2_air,ppm,усі датчики приладу,5,165.029,38.162,7.0
CO2_air,ppm,+ зовнішня погода,10,164.227,38.443,7.4
CO2_air,ppm,+ виконавчі механізми,18,167.743,38.341,5.4
