канал,виключений датчик,RMSE без нього,RMSE повного набору,СКВ за прогонами,"втрата точності,%",значущий
T_air,T_air,1.125,0.699,0.146,60.9,так
T_air,RH_air,0.723,0.699,0.099,3.4,ні
T_air,CO2_air,0.69,0.699,0.068,-1.3,ні
T_air,LUX,0.8,0.699,0.125,14.4,ні
T_air,SOIL,0.699,0.699,0.083,-0.0,ні
RH_air,T_air,2.191,2.177,0.419,0.6,ні
RH_air,RH_air,2.37,2.177,0.107,8.9,так
RH_air,CO2_air,2.208,2.177,0.401,1.4,ні
RH_air,LUX,2.134,2.177,0.376,-2.0,ні
RH_air,SOIL,2.121,2.177,0.363,-2.6,ні
CO2_air,T_air,168.719,167.743,39.145,0.6,ні
CO2_air,RH_air,169.527,167.743,39.698,1.1,ні
CO2_air,CO2_air,141.632,167.743,39.906,-15.6,ні
CO2_air,LUX,168.887,167.743,39.048,0.7,ні
CO2_air,SOIL,169.054,167.743,38.496,0.8,ні
