канал,од. вим.,спосіб обробки,RMSE,СКВ за прогонами,"покращення до «без обробки»,%","відіграно втрат,%"
T_air,°C,без обробки,0.736,0.119,0.0,0.0
T_air,°C,медіанний фільтр,0.801,0.098,-8.8,-70.0
T_air,°C,експоненційне згладжування,0.694,0.096,5.7,45.4
T_air,°C,калібрування за еталоном,0.666,0.035,9.6,76.2
T_air,°C,калібрування + медіанний фільтр,0.746,0.032,-1.4,-10.8
T_air,°C,навчання з аугментацією,0.656,0.066,10.8,86.3
T_air,°C,ідеальні вимірювання (межа),0.644,0.0,12.5,100.0
RH_air,%RH,без обробки,2.227,0.331,0.0,0.0
RH_air,%RH,медіанний фільтр,2.29,0.289,-2.8,-9.0
RH_air,%RH,експоненційне згладжування,2.176,0.348,2.3,7.3
RH_air,%RH,калібрування за еталоном,1.526,0.01,31.5,100.9
RH_air,%RH,калібрування + медіанний фільтр,1.622,0.052,27.2,87.0
RH_air,%RH,навчання з аугментацією,2.206,0.321,0.9,3.0
RH_air,%RH,ідеальні вимірювання (межа),1.532,0.0,31.2,100.0
CO2_air,ppm,без обробки,165.029,38.162,0.0,0.0
CO2_air,ppm,медіанний фільтр,164.669,38.081,0.2,0.3
CO2_air,ppm,експоненційне згладжування,168.338,38.436,-2.0,-2.5
CO2_air,ppm,калібрування за еталоном,61.435,2.748,62.8,78.4
CO2_air,ppm,калібрування + медіанний фільтр,61.682,2.729,62.6,78.2
CO2_air,ppm,навчання з аугментацією,180.711,32.012,-9.5,-11.9
CO2_air,ppm,ідеальні вимірювання (межа),32.854,0.0,80.1,100.0
