канал,вид відмови,код,"частка виявлення,%","затримка, хв",хибних тривог на добу
T_air,залипання значення,stuck,38.9,70.8,1.46
T_air,обрив каналу,outage,38.9,70.8,1.46
T_air,сповзання показань,drift,100.0,265.0,1.36
T_air,одиничні викиди,spikes,5.6,15.0,1.33
RH_air,залипання значення,stuck,16.7,87.5,0.77
RH_air,обрив каналу,outage,16.7,87.5,0.77
RH_air,сповзання показань,drift,100.0,183.3,0.73
RH_air,одиничні викиди,spikes,100.0,37.5,0.7
CO2_air,залипання значення,stuck,16.7,67.5,2.69
CO2_air,обрив каналу,outage,16.7,67.5,2.69
CO2_air,сповзання показань,drift,100.0,50.0,2.73
CO2_air,одиничні викиди,spikes,100.0,20.0,2.62
